Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
RNU6ATAC38P		20q13.12	AMP	23	595	3.9%	No
AQR		15q14	HOMDEL	11	1537	0.7%	No
RFLNA		12q24.31	HOMDEL	2	112	1.8%	No
MAGEE1		Xq13.3	HOMDEL	1	539	0.2%	No
NOL3		16q22.1	HOMDEL	13	1425	0.9%	No
BACH2		6q15	HOMDEL	1	363	0.3%	Yes
LINC00534		8q21.3	AMP	41	1174	3.5%	No
IBA57		1q42.13	HOMDEL	2	902	0.2%	No
GPAT3		4q21.23	AMP	3	1062	0.3%	No
MTHFR		1p36.22	HOMDEL	6	1481	0.4%	No
METTL23		17q25.2	AMP	27	1537	1.8%	No
DCAF13P3		15q21.2	AMP	1	56	1.8%	No
C18ORF21		18q12.2	AMP	10	1537	0.7%	No
ITGB3BP		1p31.3	AMP	5	1062	0.5%	No
RNU6ATAC36P		5q13.3	AMP	1	539	0.2%	No
RNU6ATAC37P		2p25.1	AMP	14	595	2.4%	No
KRTAP4-9		17q21.2	HOMDEL	1	363	0.3%	No
AMMECR1L		2q14.3	AMP	4	1014	0.4%	No
FBXO16		8p21.1	HOMDEL	43	1537	2.8%	No
FSTL3		19p13.3	HOMDEL	8	1425	0.6%	Yes
TRAF6		11p12	HOMDEL	2	1062	0.2%	No
CCDC159		19p13.2	AMP	79	1537	5.1%	No
USP17L6P		4p16.1	AMP	3	886	0.3%	No
DUSP8		11p15.5	HOMDEL	12	1425	0.8%	No
CASP3		4q35.1	AMP	2	902	0.2%	No
JRKL-AS1		11q21	AMP	3	523	0.6%	No
ITGB2-AS1		21q22.3	AMP	4	579	0.7%	No
LINC00115		1p36.33	HOMDEL	10	1481	0.7%	No
MFSD9		2q12.1	AMP	3	1425	0.2%	No
EVA1A		2p12	HOMDEL	1	539	0.2%	No
AUTS2		7q11.22	HOMDEL	18	1174	1.5%	No
NOMO1		16p13.11	AMP	17	1537	1.1%	No
GLI4		8q24.3	HOMDEL	3	1425	0.2%	No
KCTD17		22q12.3	HOMDEL	1	56	1.8%	No
DOK6		18q22.2	HOMDEL	21	1537	1.4%	No
EHHADH		3q27.2	AMP	104	1537	6.8%	No
LHX2		9q33.3	AMP	7	1425	0.5%	No
TDRD7		9q22.33	AMP	3	1062	0.3%	No
COX10-AS1		17p12	AMP	2	523	0.4%	No
MBNL1		3q25.1-q25.2	HOMDEL	5	1537	0.3%	No
NCAPH2		22q13.33	AMP	7	1425	0.5%	No
MTO1		6q13	AMP	11	1425	0.8%	No
CASP4		11q22.3	AMP	6	1014	0.6%	No
FCRL6		1q23.2	AMP	56	1481	3.8%	No
IGHJ5		14q32.33	HOMDEL	1	56	1.8%	No
CDKN1B		12p13.1	HOMDEL	3	1425	0.2%	Yes
BBS12		4q27	HOMDEL	5	1425	0.4%	No
ZPBP2		17q21.1	HOMDEL	2	1062	0.2%	No
SPATA1		1p22.3	AMP	5	595	0.8%	No
FNDC11		20q13.33	AMP	66	1537	4.3%	No
UBE4A		11q23.3	AMP	13	1537	0.8%	No
LINC00297		13q12.3	AMP	1	539	0.2%	No
TMED3		15q25.1	AMP	12	1425	0.8%	No
DNAJB5		9p13.3	AMP	8	1425	0.6%	No
ZNF655		7q22.1	AMP	12	1537	0.8%	No
GPR155		2q31.1	HOMDEL	1	523	0.2%	No
CASP5		11q22.3	AMP	6	1014	0.6%	No
SLC25A37		8p21.2	HOMDEL	53	1537	3.4%	No
RN7SL487P		15q15.3	HOMDEL	3	539	0.6%	No
AHNAK		11q12.3	AMP	28	1537	1.8%	No
SPR		2p13.2	HOMDEL	1	539	0.2%	No
GK2		4q21.21	HOMDEL	1	539	0.2%	No
PRAMEF19		1p36.21	AMP	10	595	1.7%	No
LINC00427		13q12.3	AMP	1	539	0.2%	No
YWHAH		22q12.3	HOMDEL	6	1174	0.5%	No
SUPT4H1		17q22	HOMDEL	4	1062	0.4%	No
GRIP1		12q14.3	AMP	12	1537	0.8%	No
HNRNPCL1		1p36.21	HOMDEL	7	1481	0.5%	No
RBM46		4q32.1	AMP	4	1062	0.4%	No
GSTT1		22q11.23 alternate reference locus	HOMDEL	2	1062	0.2%	No
OR1F2P		16p13.3	AMP	7	886	0.8%	No
CASP6		4q25	AMP	7	1425	0.5%	No
TEX19		17q25.3	HOMDEL	2	1062	0.2%	No
CGRRF1		14q22.2	HOMDEL	1	539	0.2%	No
PRAF2		Xp11.23	HOMDEL	3	1425	0.2%	No
TSGA13		7q32.2	AMP	12	1537	0.8%	No
LCTL		15q22.31	HOMDEL	3	1062	0.3%	No
MS4A6E		11q12.2	HOMDEL	3	475	0.6%	No
LINC00290		4q34.3	HOMDEL	56	1174	4.8%	No
PRDM2		1p36.21	HOMDEL	10	1481	0.7%	No
LINC00885		3q29	AMP	89	1174	7.6%	No
CRTAM		11q24.1	HOMDEL	16	1537	1.0%	No
EGR3		8p21.3	AMP	9	1425	0.6%	No
LINC00283		13q33.1	AMP	10	595	1.7%	No
EGR4		2p13.2	AMP	5	1425	0.4%	No
APOM		6p21.33	AMP	24	1537	1.6%	No
TRBV9		7q34	AMP	5	595	0.8%	No
ARIH1		15q24.1	AMP	13	1537	0.8%	No
SPATA5L1		15q21.1	AMP	1	56	1.8%	No
ZDHHC16		10q24.1	HOMDEL	9	1425	0.6%	No
C7ORF31		7p15.3	HOMDEL	3	1425	0.2%	No
SNORD115-16		15q11.2	HOMDEL	4	579	0.7%	No
SLC22A6		11q12.3	AMP	19	1537	1.2%	No
EPS15		1p32.3	AMP	8	1062	0.8%	Yes
LYPLAL1		1q41	AMP	46	1537	3.0%	No
XAF1		17p13.2	AMP	10	1537	0.7%	No
SLC2A14		12p13.31	AMP	13	1537	0.8%	No
CERK		22q13.31	HOMDEL	30	1537	2.0%	No
SLC7A8		14q11.2	AMP	13	1537	0.8%	No
GUCA1A		6p21.1	HOMDEL	3	1425	0.2%	No
IQGAP2		5q13.3	HOMDEL	11	1425	0.8%	No
SP4		7p15.3	HOMDEL	5	1425	0.4%	No
CROCCP2		1p36.13	AMP	18	1537	1.2%	No
BACE2		21q22.2-q22.3	AMP	15	1537	1.0%	No
TUBG1		17q21.31	HOMDEL	1	539	0.2%	No
ZFP57		6p22.1	AMP	12	1537	0.8%	No
DKK3		11p15.3	AMP	10	1425	0.7%	Yes
SH3BGRL2		6q14.1	HOMDEL	1	363	0.3%	No
LSM11		5q33.3	AMP	7	1537	0.5%	No
ALDH8A1		6q23.3	AMP	7	1174	0.6%	No
MIR7-3HG		19p13.3	HOMDEL	5	942	0.5%	No
OR1A2		17p13.3	AMP	8	1537	0.5%	No
HS3ST2		16p12.2	HOMDEL	3	1062	0.3%	No
DCDC1		11p14.1	AMP	9	1425	0.6%	No
ITGBL1		13q33.1	AMP	19	1537	1.2%	No
SNORD82		2q37.1	AMP	15	1537	1.0%	No
LINC00869		1q21.2	AMP	29	579	5.0%	No
CNP		17q21.2	HOMDEL	1	539	0.2%	No
CELF2-AS2		10p14	AMP	4	523	0.8%	No
GPALPP1		13q14.12	HOMDEL	6	1537	0.4%	No
HSD3B7		16p11.2	AMP	45	1537	2.9%	No
DKK4		8p11.21	AMP	80	1537	5.2%	Yes
AMDHD1		12q23.1	AMP	9	1537	0.6%	No
FSTL3		19p13.3	AMP	5	1062	0.5%	Yes
CEBPA-DT		19q13.11	HOMDEL	2	523	0.4%	No
IDH3B		20p13	HOMDEL	1	539	0.2%	No
OR1C1		1q44	AMP	61	1537	4.0%	No
DRAXIN		1p36.22	AMP	17	1537	1.1%	No
TCN1		11q12.1	HOMDEL	3	475	0.6%	No
TPSG1		16p13.3	AMP	9	1537	0.6%	No
ARL2BPP3		13q13.3	AMP	2	595	0.3%	No
RAB14		9q33.2	HOMDEL	5	902	0.6%	No
KLHL28		14q21.2	HOMDEL	1	56	1.8%	No
DKKL1		19q13.33	AMP	22	1537	1.4%	No
IFFO2		1p36.13	AMP	22	1537	1.4%	No
COL6A4P1		3p25.1	AMP	12	1425	0.8%	No
CHUK		10q24.31	HOMDEL	6	1425	0.4%	No
RYBP		3p13	AMP	14	1537	0.9%	Yes
NDST4		4q26	AMP	2	902	0.2%	No
PARVB		22q13.31	AMP	7	1425	0.5%	No
DNAJB2		2q35	HOMDEL	3	1425	0.2%	No
STAM		10p12.33	HOMDEL	2	902	0.2%	No
USP17L10		4p16.1	HOMDEL	2	1062	0.2%	No
PRDX5		11q13.1	AMP	38	1537	2.5%	No
PTCHD1-AS		Xp22.11	HOMDEL	5	579	0.9%	No
SIK1		21q22.3	AMP	27	1537	1.8%	No
PABPC1L2B-AS1		Xq13.1-q13.2	AMP	1	523	0.2%	No
SNAR-A4		19q13.33	HOMDEL	2	523	0.4%	No
ZNF12		7p22.1	HOMDEL	2	1062	0.2%	No
AHR		7p21.1	HOMDEL	5	1425	0.4%	No
AKAP8		19p13.12	AMP	83	1537	5.4%	No
TAF4B		18q11.2	AMP	39	1537	2.5%	No
TMEM184B		22q13.1	AMP	26	1537	1.7%	No
NAA20		20p11.23	AMP	8	1425	0.6%	No
KLK2		19q13.33	HOMDEL	2	1062	0.2%	Yes
MSN		Xq12	AMP	9	1537	0.6%	Yes
KIF3B		20q11.21	AMP	92	1537	6.0%	No
MEIS2		15q14	AMP	2	112	1.8%	No
TRPT1		11q13.1	HOMDEL	7	1481	0.5%	No
GPAT4		8p11.21	AMP	84	1537	5.5%	No
DGUOK		2p13.1	AMP	13	1425	0.9%	No
RCC2		1p36.13	AMP	12	1537	0.8%	No
OLA1		2q31.1	AMP	11	1537	0.7%	No
PNN		14q21.1	AMP	14	1425	1.0%	No
ACSM5		16p12.3	AMP	15	1425	1.1%	No
RNU6-66P		13q22.1	HOMDEL	1	523	0.2%	No
OR5H6		3q11.2	AMP	6	475	1.3%	No
GRM4		6p21.31	AMP	21	1425	1.5%	No
RADX		Xq22.3	AMP	4	1174	0.3%	No
H2AX		11q23.3	AMP	19	1537	1.2%	No
LRRC49		15q23	HOMDEL	1	539	0.2%	No
ELP1		9q31.3	HOMDEL	6	902	0.7%	No
CDK2AP2		11q13.2	AMP	42	1537	2.7%	No
VPREB3		22q11.23	HOMDEL	2	1062	0.2%	No
MEIS1		2p14	AMP	10	1481	0.7%	No
GOLGA7		8p11.21	AMP	75	1537	4.9%	No
SMPD2		6q21	AMP	11	1537	0.7%	No
TAGLN		11q23.3	AMP	9	1537	0.6%	No
DAD1P1		12p12.1	AMP	8	363	2.2%	No
RNA5SP397		15q22.2	HOMDEL	3	539	0.6%	No
ADIPOQ		3q27.3	AMP	99	1537	6.4%	No
MSMB		10q11.22	AMP	5	1062	0.5%	No
RN7SKP80		22q13.2	HOMDEL	5	595	0.8%	No
SLC4A9		5q31.3	HOMDEL	1	539	0.2%	No
DHCR7		11q13.4	AMP	21	1425	1.5%	No
UBL3		13q12.3	AMP	2	902	0.2%	No
CZIB		1p32.3	AMP	10	1062	0.9%	No
AFF4		5q31.1	AMP	2	112	1.8%	Yes
VWDE		7p21.3	AMP	21	1537	1.4%	No
PSG9		19q13.31	AMP	19	1174	1.6%	No
RNF150		4q31.21	AMP	7	1481	0.5%	No
H2AC7		6p22.2	AMP	15	1537	1.0%	No
FOXRED2		22q12.3	AMP	15	1537	1.0%	No
OTUB2		14q32.12	HOMDEL	3	1425	0.2%	No
MTLN		2q13	AMP	6	1062	0.6%	No
ZBTB38		3q23	AMP	38	1537	2.5%	No
GRM5		11q14.2-q14.3	AMP	11	1425	0.8%	No
ZNF763		19p13.2	HOMDEL	1	539	0.2%	No
RNF183		9q32	AMP	13	1425	0.9%	No
MEFV		16p13.3	AMP	8	1425	0.6%	No
STING1		5q31.2	AMP	12	1537	0.8%	No
TAF5		10q24.33	AMP	14	1425	1.0%	No
GKN1		2p13.3	AMP	6	902	0.7%	No
SNORD91A		17p13.3	HOMDEL	1	539	0.2%	No
ERH		14q24.1	AMP	8	1425	0.6%	No
TMEM72		10q11.21	HOMDEL	2	902	0.2%	No
PLAA		9p21.2	AMP	10	1425	0.7%	No
SCNN1A		12p13	HOMDEL	1	363	0.3%	No
LOC100505549		18q21.31	HOMDEL	2	523	0.4%	No
SAR1B		5q31.1	AMP	5	1537	0.3%	No
FBXL2		3p22.3	AMP	5	1425	0.4%	No
H2AC8		6p22.2	AMP	15	1537	1.0%	No
GRM2		3p21.2	AMP	7	1425	0.5%	No
SEPTIN5		22q11.21	AMP	20	1537	1.3%	Yes
PDCL3		2q11.2	AMP	6	1537	0.4%	No
ULK4		3p22.1	AMP	4	1425	0.3%	No
INPP5J		22q12.2	AMP	28	1537	1.8%	No
SOBP		6q21	AMP	10	1537	0.7%	No
SF3A2		19p13.3	AMP	6	1425	0.4%	No
OR1E2		17p13.2	HOMDEL	1	539	0.2%	No
IGSF6		16p12.2	AMP	12	1425	0.8%	No
LINC00475		9q22.31	AMP	9	1425	0.6%	No
TXN2		22q12.3	AMP	15	1537	1.0%	No
PARD3		10p11.22-p11.21	AMP	19	1481	1.3%	No
ODAM		4q13.3	HOMDEL	3	1062	0.3%	No
TRIM17		1q42.13	AMP	51	1537	3.3%	No
DTHD1		4p14	AMP	1	539	0.2%	No
SUMO3		21q22.3	AMP	19	1537	1.2%	No
RN7SL500P		22q13.33	HOMDEL	23	595	3.9%	No
ZFYVE9		1p32.3	AMP	8	1062	0.8%	No
NAA35		9q21.33	HOMDEL	4	902	0.4%	No
SEC14L3		22q12.2	AMP	24	1537	1.6%	No
PRKG1		10q11.23-q21.1	HOMDEL	9	1425	0.6%	No
OASL		12q24.31	HOMDEL	2	902	0.2%	No
PANDAR		6p21.2	AMP	8	579	1.4%	No
MADCAM1		19p13.3	AMP	5	1062	0.5%	No
GRM3		7q21.11-q21.12	AMP	3	651	0.5%	Yes
NLN		5q12.3	AMP	6	1062	0.6%	No
SEPTIN4		17q22	AMP	18	1481	1.2%	No
HCFC1R1		16p13.3	AMP	14	1425	1.0%	No
DKK2		4q25	AMP	6	1174	0.5%	Yes
KIF26B		1q44	AMP	64	1537	4.2%	No
SF3B4		1q21.2	AMP	91	1537	5.9%	No
SPANXA1		Xq27.2	HOMDEL	6	651	0.9%	No
RNY4P1		9q21.13	HOMDEL	1	539	0.2%	No
TAF6		7q22.1	AMP	42	1537	2.7%	No
ASAH2		10q11.23	HOMDEL	6	1425	0.4%	No
HSD11B2		16q22.1	HOMDEL	13	1425	0.9%	No
CCDC63		12q24.11	AMP	5	1425	0.4%	No
TM9SF2		13q32.3	AMP	16	1537	1.0%	No
SLC25A2		5q31.3	AMP	2	112	1.8%	No
INKA2		1p13.2	AMP	5	1062	0.5%	No
SUMO2		17q25	AMP	36	1537	2.3%	No
ERF		19q13.2	AMP	18	1537	1.2%	Yes
EIF4EBP1		8p11.23	AMP	36	1537	2.3%	No
RAMP3		7p13	AMP	9	1425	0.6%	No
NR2E3		15q23	AMP	20	1537	1.3%	No
CHEK2		22q12.1	AMP	20	1537	1.3%	Yes
CYP2S1		19q13.2	AMP	23	1537	1.5%	No
LINC01814		2p25.1	HOMDEL	1	56	1.8%	No
FOXA3		19q13.32	HOMDEL	3	1425	0.2%	No
TIMM50		19q13.2	HOMDEL	2	1062	0.2%	No
RN7SL762P		3q13.33	HOMDEL	1	539	0.2%	No
ERI3		1p34.1	AMP	28	1481	1.9%	No
EBLN1		10p12.31	AMP	8	1062	0.8%	No
OTUD4		4q31.21	AMP	6	1425	0.4%	No
ALPK2		18q21.31-q21.32	HOMDEL	13	1425	0.9%	No
CSDE1		1p13.2	AMP	5	1062	0.5%	Yes
PRMT1		19q13.33	AMP	27	1537	1.8%	No
FER1L6-AS2		8q24.13	AMP	26	579	4.5%	No
H1-6		6p22.2	AMP	15	1537	1.0%	No
SNX5		20p11.23	HOMDEL	3	1062	0.3%	No
NRSN2		20p13	AMP	7	1062	0.7%	No
RAB5A		3p24.3	HOMDEL	3	1425	0.2%	No
POLI		18q21.2	AMP	7	1425	0.5%	No
MED6		14q24.2	AMP	1	539	0.2%	No
IRF3		19q13.33	HOMDEL	2	1062	0.2%	No
ZNF230		19q13.31	HOMDEL	3	1062	0.3%	No
TAF7		5q31.3	AMP	2	112	1.8%	No
SH3GL3		15q25.2	HOMDEL	1	539	0.2%	No
PPT2		6p21.32	AMP	24	1537	1.6%	No
TMEM125		1p34.2	AMP	35	1537	2.3%	No
EML1		14q32.2	HOMDEL	2	1062	0.2%	No
ERG		21q22.2	AMP	15	1537	1.0%	Yes
ZMPSTE24		1p34.2	AMP	43	1537	2.8%	No
EIF4EBP2		10q22.1	AMP	16	1425	1.1%	No
NAALAD2		11q14.3	AMP	8	1425	0.6%	No
XKRX		Xq22.1	HOMDEL	2	1062	0.2%	No
ANGPTL4		19p13.2	AMP	31	1425	2.2%	No
ARVCF		22q11.21	HOMDEL	6	1062	0.6%	No
GRM1		6q24.3	AMP	5	1118	0.4%	No
SLC8B1		12q24.13	AMP	10	1537	0.7%	No
PRMT2		21q22.3	AMP	17	1537	1.1%	No
SLC38A4		12q13.11	AMP	21	1425	1.5%	No
CMKLR1		12q23.3	HOMDEL	1	539	0.2%	No
IFNA13		9p21.3	HOMDEL	1	539	0.2%	No
DCDC2C		2p25.3	HOMDEL	4	1174	0.3%	No
C7ORF26		7p22.1	AMP	12	1537	0.8%	No
PLEKHG1		6q25.1	AMP	10	1481	0.7%	No
PPTC7		12q24.11	AMP	7	1425	0.5%	No
SIGLEC1		20p13	AMP	23	1425	1.6%	No
ADAM5		8p11.22	HOMDEL	14	1537	0.9%	No
NMI		2q23.3	AMP	3	1062	0.3%	No
COX5A		15q24.2	AMP	20	1537	1.3%	No
TSPAN10		17q25.3	AMP	52	1537	3.4%	No
RAMP2		17q21.2	AMP	8	1425	0.6%	No
GAU1		12p13.32	AMP	7	579	1.2%	No
MAPK10		4q21.3	HOMDEL	4	1062	0.4%	No
CARD16		11q22.3	HOMDEL	17	1537	1.1%	No
TPRA1		3q21.3	AMP	18	1537	1.2%	No
HSPB7		1p36.13	AMP	28	1537	1.8%	No
NKRF		Xq24	AMP	4	1425	0.3%	No
HRH2		5q35.2	AMP	11	1537	0.7%	No
CYTH4		22q13.1	AMP	18	1537	1.2%	No
TMEM65		8q24.13	AMP	86	1537	5.6%	No
CCDC186		10q25.3	AMP	7	1425	0.5%	No
TMEM62		15q15.2	AMP	7	1174	0.6%	No
INTS12		4q24	HOMDEL	5	1425	0.4%	No
CELF5		19p13.3	HOMDEL	15	1537	1.0%	No
NABP2		12q13.3	AMP	36	1537	2.3%	No
RNA5SP41		1p36.21	HOMDEL	4	595	0.7%	No
KIAA1210		Xq24	AMP	2	902	0.2%	No
IRX5		16q12.2	AMP	7	1062	0.7%	No
SNAI1		20q13.13	AMP	50	1537	3.3%	No
KBTBD3		11q22.3	HOMDEL	14	1537	0.9%	No
MTMR4		17q22	AMP	19	1481	1.3%	No
SLC22A8		11q12.3	AMP	18	1537	1.2%	No
CHKB		22q13.33	HOMDEL	46	1537	3.0%	No
MIXL1		1q42.12	AMP	48	1537	3.1%	No
EIF4E		4q23	AMP	6	1174	0.5%	Yes
RAMP1		2q37.3	AMP	10	1537	0.7%	No
RFPL1		22q12.2	HOMDEL	3	1425	0.2%	No
RRAS2		11p15.2	HOMDEL	1	539	0.2%	Yes
KCNN2		5q22.3	HOMDEL	3	1062	0.3%	No
CKMT2-AS1		5q14.1	HOMDEL	3	523	0.6%	No
EVI5		1p22.1	AMP	4	902	0.4%	No
MYO15B		17q25.1	AMP	60	1537	3.9%	No
HRG		3q27.3	AMP	99	1537	6.4%	No
SMC1B		22q13.31	AMP	7	1425	0.5%	No
ELL		19p13.11	AMP	58	1537	3.8%	Yes
KXD1		19p13.11	AMP	54	1537	3.5%	No
LINC00434		13q21.2	HOMDEL	3	595	0.5%	No
KDM5C		Xp11.22	HOMDEL	5	1425	0.4%	Yes
CRACD		4q12	AMP	4	1425	0.3%	No
AKT3		1q43-q44	AMP	64	1734	3.7%	Yes
ANXA1		9q21.13	HOMDEL	1	539	0.2%	No
ZNF770		15q14	AMP	4	1425	0.3%	No
SNAP25		20p12.2	AMP	6	1062	0.6%	No
FGF4		11q13.3	HOMDEL	2	1062	0.2%	Yes
TAGAP		6q25.3	HOMDEL	2	1062	0.2%	No
ABI1		10p12.1	AMP	8	1425	0.6%	Yes
WNT16		7q31.31	AMP	6	1481	0.4%	No
DAO		12q24.11	HOMDEL	1	539	0.2%	No
KLF9		9q21.12	HOMDEL	1	539	0.2%	No
ZNF547		19q13.43	HOMDEL	2	1062	0.2%	No
FOXD4L1		2q14.1	AMP	66	1537	4.3%	No
DLG1-AS1		3q29	HOMDEL	1	523	0.2%	No
ZCCHC3		20p13	HOMDEL	1	539	0.2%	No
FGFBP2		4p15.32	AMP	22	1537	1.4%	No
RN7SKP119		2p21	AMP	15	595	2.5%	No
PLPP2		19p13.3	HOMDEL	11	1425	0.8%	No
GNPDA1		5q31.3	AMP	5	1537	0.3%	No
PTDSS2		11p15.5	HOMDEL	14	1537	0.9%	No
WASHC1		9p24.3	AMP	9	579	1.6%	No
SHROOM4		Xp11.22	HOMDEL	6	1425	0.4%	No
TTLL2		6q27	AMP	12	1537	0.8%	No
SEC61A2		10p14	HOMDEL	2	902	0.2%	No
DIPK1C		18q22.3	HOMDEL	21	1537	1.4%	No
ATP6V1D		14q23.3	AMP	2	419	0.5%	No
LIN28B		6q16.3-q21	AMP	14	1537	0.9%	No
RNA5SP505		Xp11.22	HOMDEL	2	539	0.4%	No
PSG2		19q13.31	AMP	19	1174	1.6%	No
FBXL18		7p22.1	AMP	28	1537	1.8%	No
ACTL7B		9q31.3	HOMDEL	6	902	0.7%	No
CCDC140		2q36.1	AMP	10	1174	0.9%	No
NAALADL1		11q13.1	AMP	32	1537	2.1%	No
EIF3L		22q13.1	AMP	28	1537	1.8%	No
USP27X-DT		Xp11.23	AMP	15	942	1.6%	No
DCAF8L1		Xp21.3	HOMDEL	7	1481	0.5%	No
RASGEF1A		10q11.21	HOMDEL	2	902	0.2%	Yes
GABPB1-IT1		15q21.2	HOMDEL	1	523	0.2%	No
PRSS27		16p13.3	AMP	16	1425	1.1%	No
CLEC12B		12p13.2	HOMDEL	4	1425	0.3%	No
PSG3		19q13.2	AMP	19	1174	1.6%	No
LMNB2		19p13.3	AMP	4	1425	0.3%	No
DIAPH2		Xq21.33	HOMDEL	5	1174	0.4%	No
SIRPB2		20p13	AMP	5	1062	0.5%	No
RAB8A		19p13.11	AMP	70	1537	4.6%	No
PANK2		20p13	AMP	26	1425	1.8%	No
APC2		19p13.3	HOMDEL	7	1425	0.5%	No
ZSCAN22		19q13.43	HOMDEL	2	1062	0.2%	No
ACOT8		20q13.12	AMP	47	1537	3.1%	No
TACR3		4q24	AMP	5	1062	0.5%	No
ZNF589		3p21.31	AMP	23	1481	1.6%	No
RNA5SP425		16q12.1	HOMDEL	3	595	0.5%	No
TBCEL		11q23.3	AMP	8	1537	0.5%	No
RN7SKP137		4q27	HOMDEL	4	539	0.7%	No
RPLP2		11p15.5	HOMDEL	16	1537	1.0%	No
RNGTT		6q15	HOMDEL	1	363	0.3%	No
SPIN2B		Xp11.21	HOMDEL	5	1425	0.4%	No
PSG4		19q13.31	AMP	19	1174	1.6%	No
FCRLA		1q23.3	AMP	49	1481	3.3%	No
RNF224		9q34.3	HOMDEL	2	539	0.4%	No
NEXN		1p31.1	HOMDEL	2	902	0.2%	No
KLK8		19q13.41	AMP	15	1537	1.0%	No
MAP3K5		6q23.3	AMP	9	1481	0.6%	No
LSP1P3		5p13.3	AMP	12	579	2.1%	No
OR13A1		10q11.21	AMP	1	539	0.2%	No
NIP7		16q22.1	AMP	20	1537	1.3%	No
CPB1		3q24	HOMDEL	3	1425	0.2%	No
TADA2A		17q12	AMP	17	1481	1.1%	No
COMMD2		3q25.1	AMP	50	1537	3.3%	No
UCHL1-AS1		4p13	HOMDEL	2	523	0.4%	No
MOGAT1		2q36.1	AMP	10	1174	0.9%	No
H2BC3		6p22.2	AMP	16	1537	1.0%	No
OSGIN1		16q23.3	HOMDEL	24	1537	1.6%	No
LINC00358		13q21.31	HOMDEL	4	651	0.6%	No
ABCC5		3q27.1	HOMDEL	6	1425	0.4%	No
CBWD5		9q21.11	AMP	8	1062	0.8%	No
MST1P2		1p36.13	AMP	9	942	1.0%	No
DMD		Xp21.2-p21.1	HOMDEL	67	1537	4.4%	No
PSG5		19q13.31	AMP	19	1174	1.6%	No
RNA5SP443		17q21.31	AMP	4	539	0.7%	No
PINX1		8p23.1	AMP	3	1425	0.2%	No
DNAJC8		1p35.3	HOMDEL	4	1425	0.3%	No
LINC00484		9q22.2	AMP	3	539	0.6%	No
ARGLU1		13q33.3	AMP	19	1537	1.2%	No
TRMT2A		22q11.21	HOMDEL	6	1062	0.6%	No
MAP3K4		6q26	AMP	10	1481	0.7%	No
SEMA7A		15q24.1	HOMDEL	1	539	0.2%	No
GRM8		7q31.33	AMP	5	1481	0.3%	No
RNU6ATAC40P		7q35	AMP	6	595	1.0%	No
MT1IP		16q13	HOMDEL	7	886	0.8%	No
MAP3K3		17q23.3	AMP	27	1481	1.8%	No
RPL26L1		5q35.1	AMP	8	1537	0.5%	No
TAF1		Xq13.1	AMP	8	1537	0.5%	Yes
E2F6		2p25.1	HOMDEL	3	651	0.5%	No
AQP12A		2q37.3	HOMDEL	5	1425	0.4%	No
HFE		6p22.2	HOMDEL	1	539	0.2%	No
GINM1		6q25.1	AMP	4	595	0.7%	No
H2BC5		6p22.2	AMP	16	1734	0.9%	Yes
COP1		1q25.1-q25.2	HOMDEL	1	523	0.2%	Yes
KCNH4		17q21.2	HOMDEL	1	539	0.2%	No
CAMK2D		4q26	HOMDEL	6	1425	0.4%	No
NCBP2AS2		3q29	AMP	56	942	5.9%	No
MTURN		7p14.3	AMP	19	1425	1.3%	No
LRRC58		3q13.33	HOMDEL	3	1425	0.2%	No
CXCL1		4q13.3	AMP	1	363	0.3%	No
IFT57		3q13.12-q13.13	AMP	12	1537	0.8%	No
ESRRB		14q24.3	HOMDEL	2	1062	0.2%	No
RNF214		11q23.3	AMP	9	1537	0.6%	No
LRRC37A5P		9q31.3	HOMDEL	4	539	0.7%	No
CDKL4		2p22.1	HOMDEL	2	1062	0.2%	No
IER3IP1		18q21.1	AMP	6	1014	0.6%	No
RPL13AP5		10q24.1	AMP	9	579	1.6%	No
KCNE3		11q13.4	AMP	23	1425	1.6%	No
LRRD1		7q21.2	AMP	5	1174	0.4%	No
POLR3D		8p21.3	HOMDEL	46	1537	3.0%	No
MAP3K1		5q11.2	AMP	2	1062	0.2%	Yes
TAF2		8q24.12	AMP	77	1537	5.0%	No
DHCR24		1p32.3	AMP	18	1537	1.2%	No
SNHG15		7p13	AMP	11	1537	0.7%	No
SLC14A2		18q12.3	AMP	16	1537	1.0%	No
OR2F2		7q35	HOMDEL	1	523	0.2%	No
CCDC149		4p15.2	AMP	4	958	0.4%	No
CLN6		15q23	AMP	10	1537	0.7%	No
RASGRP4		19q13.2	HOMDEL	3	1425	0.2%	No
PSG6		19q13.31	AMP	19	1174	1.6%	No
SPATA45		1q32.3	HOMDEL	2	112	1.8%	No
TAPBPL		12p13.31	AMP	32	1537	2.1%	No
RN7SL150P		19q13.11	HOMDEL	2	539	0.4%	No
DCST1		1q21.3	AMP	98	1537	6.4%	No
GRM6		5q35.3	AMP	9	1537	0.6%	No
FAM157C		16q24.3	HOMDEL	7	595	1.2%	No
ACER1		19p13.3	AMP	1	363	0.3%	No
LINC02888		7p21.1	AMP	9	523	1.7%	No
ST8SIA4		5q21.1	HOMDEL	7	1425	0.5%	No
TAF4		20q13.33	AMP	58	1537	3.8%	No
ZBTB33		Xq24	AMP	2	1062	0.2%	No
RWDD1		6q22.1	AMP	8	1481	0.5%	No
